game_id,game_date,principal_team,opponent_team,home_team,principal_score,opponent_score,delta_field_goals_pct,delta_avg_off_rebounds,delta_avg_free_throws_att,delta_avg_free_throws_pct,delta_avg_turnovers,delta_win_pct,game_result
5d9eb960-532b-4ea5-9561-aa0843b66f00,11/18/2015,Nebraska-Omaha,UMKC,TRUE,95,89,0.024,-4,24,0.084,4,0,TRUE
e3d1512c-6462-4df2-9297-140498b48824,11/18/2015,Pennsylvania,Delaware State,FALSE,60,54,0.1,1.5,16,0.6835,3,1,TRUE
2e651c4e-b98f-428f-8e9a-d39153e20c7b,11/18/2015,San Diego,Western Michigan,FALSE,62,74,-0.124,6,3,-0.393,0,0,FALSE
441bd4ad-26ef-4d78-923b-47f8f7af1ba9,11/18/2015,Marist,Dartmouth,TRUE,73,63,0.03,1,3,-0.076,-3,0,TRUE
8115e098-dd17-4476-acbc-3053991bb2fe,11/18/2015,Cornell,Binghamton,TRUE,76,59,0.125,3.5,4,-0.0635,-2.5,0.5,TRUE
8252cf38-061b-4cb6-a671-e358d6951f00,11/18/2015,Southern Miss,Jackson State,TRUE,60,78,-0.048,9,-6,-0.198,1,0,FALSE
696f2112-fef5-46b1-add7-7712ab9efb0a,11/18/2015,Florida State,Jacksonville,TRUE,98,79,0.269,0,10,0.068,3,1,TRUE
d7fe7fa1-7018-43da-bd2c-28dfe656f46e,11/18/2015,American University,Hampton,TRUE,48,61,-0.095,-12,-12,0.015,-1,0,FALSE
50d856c2-299b-4092-b299-4c7b52e85d9d,11/18/2015,Hartford,Louisville,FALSE,52,87,-0.104,-6,-1.5,0.08,-3,-0.5,FALSE
dcab3071-2f73-400b-b7cc-1b2da60b97a1,11/18/2015,Pacific,Cal State Fullerton,TRUE,76,77,-0.106,-5,0,-0.053,-9,0,FALSE
08619dd7-7b3b-4fc8-a1f4-117e16d6ac72,11/18/2015,La Salle,Rider,TRUE,73,60,0.055,-4,21,-0.167,-2,1,TRUE
23d219b1-1a71-4a20-994d-999ee1eea9cb,11/18/2015,UTSA,Creighton,FALSE,78,103,-0.1575,-5.5,-1,0.1045,8,-1,FALSE
5a44a733-d2c3-4f3a-afae-f0dd20fc3748,11/18/2015,Michigan State,Kansas,TRUE,79,73,-0.073,10,-6,-0.158,-2,0,TRUE
abc7732e-8a42-4a5d-9c0e-cd50de30017f,11/18/2015,Tulsa,Wichita State,TRUE,77,67,0.146,-8,-24,-0.05,5,0,TRUE
21e45e85-e2ea-4d2a-8ef7-8cda5a02f452,11/19/2015,Arkansas State,Savannah State,FALSE,75,76,-0.019,10,-12,0.14,-6,-1,FALSE
fba814e1-f906-488c-834f-ae4002586b7c,11/19/2015,UC Irvine,UCF,FALSE,61,60,0.103,0,-3,0.071,7,1,TRUE
07cdd155-8ead-4bf2-85b1-4bcbad003fc2,11/19/2015,Niagara,Brown,TRUE,75,66,-0.1155,5.5,3.5,0.1245,3,-0.5,TRUE
06f2c517-983d-46be-a77a-5fbb45b30cf7,11/19/2015,New Mexico,Loyola (IL),TRUE,75,51,-0.0205,3.5,4,0.0185,-8.5,0,TRUE
87cdc2f3-eb77-4c26-b0a7-acafd5fe0838,11/19/2015,Mississippi State,Miami (FL),TRUE,79,105,0.0105,3,-6.5,0.0065,7,-0.5,FALSE
83e406a7-d82e-4fb1-b853-eb437b35f262,11/19/2015,Jacksonville State,Virginia Tech,FALSE,62,71,-0.023,0,-24,0.188,-3,0,FALSE
d8e946d4-59b2-4827-9f51-cc24a89e774d,11/19/2015,Northwestern,Fairfield,TRUE,79,72,0.076,5.5,8,-0.1395,-11,1,TRUE
1e5c2386-df93-4b56-8509-ff0315afed57,11/19/2015,Kennesaw State,Arizona State,FALSE,53,91,-0.086,1.5,-4.5,0.111,0,-0.5,FALSE
916197ae-669d-4d77-9076-099905d78c16,11/19/2015,Richmond,Wake Forest,FALSE,91,82,0.1135,-7,-14,-0.123,-4,-0.5,TRUE
f9ba6599-ed2b-487d-adda-903f6baf9726,11/19/2015,Denver,Utah Valley,TRUE,75,62,0.210333333,-1.333333333,-9,0.111666667,-4.666666667,0.666666667,TRUE
bd7d3378-05a3-4052-8cb0-bb9dd04f5fc0,11/19/2015,Austin Peay,IPFW,TRUE,77,80,-0.091,8,1.5,0.109,0,0,FALSE
c6698b8d-1948-4521-bd2c-12bf5bef0732,11/19/2015,Bucknell,Robert Morris,FALSE,81,76,0.015,1.5,11.5,0.1325,-10,0,TRUE
00a2ec44-5b79-4a9a-b9ae-2776f41f88e1,11/19/2015,Drexel,High Point,TRUE,66,75,0.007,1,8,-0.007,-7,0,FALSE
0107704e-8285-432f-9561-3ed1a6de94e2,11/19/2015,North Carolina State,IUPUI,TRUE,79,56,0.008,1.5,4,-0.2115,-5,0,TRUE
3905e2cc-fad1-447a-a6a4-8cef46a3a65f,11/19/2015,Quinnipiac,Vermont,FALSE,70,83,-0.067,7.5,12,-0.2705,2.5,0,FALSE
49cadcfd-6dc1-4310-a689-7b1316a3392b,11/19/2015,Boston College,Central Connecticut State,TRUE,82,57,0.055,4.5,4,-0.0525,0.5,1,TRUE
5abef9cc-c7b7-4246-8c87-96cdc58bd6dc,11/19/2015,Butler,Missouri State,FALSE,93,59,0.229,9,11,0.045,-6,1,TRUE
